STATUS | wrapper  | 2023/04/17 15:27:03 | --> Wrapper Started as Console
STATUS | wrapper  | 2023/04/17 15:27:03 | Java Service Wrapper Professional Edition 64-bit 3.5.40
STATUS | wrapper  | 2023/04/17 15:27:03 |   Copyright (C) 1999-2019 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2023/04/17 15:27:03 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2023/04/17 15:27:03 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2023/04/17 15:27:03 | 
WARN   | wrapper  | 2023/04/17 15:27:03 | Running in a console with QuickEdit Mode. Be careful when selecting text in the
WARN   | wrapper  | 2023/04/17 15:27:03 |   console as this may cause to block the Java Application.
WARN   | wrapper  | 2023/04/17 15:27:03 | 
STATUS | wrapper  | 2023/04/17 15:27:04 | Launching a JVM...
INFO   | jvm 1    | 2023/04/17 15:27:04 | WrapperManager: Initializing...
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccadminprofile
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccbadloginstatus
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaacchttpsession
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccoldpassword
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccount
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccountowner
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccountstatus
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccownerprofile
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccpassword
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccsession
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccsessionaudit
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccsessionprop
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaaccuserprofile
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaace
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaauthorizedrole
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaacontactinfo
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaadisableauth
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaenvironmententry
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaagenderhonorific
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaimpliedbytablecolumn
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaimpliedpermission
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaimpliedrole
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaimpliedtablecolumn
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaalogin
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaamethodparams
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaamethodpermission
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaamoduleservice
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaorganization
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaorgcontactinfo
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaorgcontactuser
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaorgdetail
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaorgpostaladdr
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaorgstatus
